STANDARD_VALUE,ALogP,ALogp2,AMR,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,MW,AMW
66,-1.4445,2.08658025,67.7732,4,4,4,4,1,1,400.262697,6.455849952
11000,-0.5337,0.28483569,48.8942,4,3,3,4,0,0,358.1681279,7.309553632
20000,-1.786,3.189796,55.4264,5,7,5,7,0,0,383.1845063,7.229896345
74,-1.2952,1.67754304,62.0237,4,4,4,4,1,1,384.2313969,6.7409017
50000,0.1165,0.01357225,47.3598,4,5,5,7,0,0,465.1688562,8.020152693
8000,-0.3292,0.10837264,39.3283,3,2,2,3,1,1,316.1575633,7.185399165
190,-1.5309,2.34365481,36.5844,4,4,4,4,1,1,396.2313969,6.831575809
20000,-2.4412,5.95945744,66.811,7,6,4,7,0,0,319.200825,6.650017188
30000,-0.5436,0.29550096,43.4698,4,3,3,4,0,0,370.1681279,7.403362559
11000,-0.3292,0.10837264,39.3283,3,2,2,3,1,1,266.1419132,7.003734558
80000,-0.5954,0.35450116,50.7856,4,4,4,5,0,0,450.1943427,7.503239045
39,-1.1094,1.23076836,62.9248,4,4,4,4,1,1,386.247047,6.546560118
710,-1.2646,1.59921316,34.9035,3,4,4,4,0,0,373.2154125,6.785734772
190,-1.4061,1.97711721,46.3152,4,4,4,4,1,1,398.247047,6.637450783
70000,-0.5436,0.29550096,43.4698,4,3,3,4,0,0,420.183778,7.50328175
50000,0.2007,0.04028049,49.0854,4,3,3,4,0,0,454.1448057,8.109728672
25000,-0.4717,0.22250089,45.6596,3,3,3,4,1,1,422.1994281,7.279300484
120,-1.6941,2.86997481,49.2268,4,4,4,4,1,1,412.262697,6.543852334
30000,1.0408,1.08326464,64.3216,5,4,4,5,0,0,416.2099928,7.054406657
20000,-2.0294,4.11846436,72.0211,5,6,4,5,0,0,375.2322054,6.583021148
30000,-0.5436,0.29550096,43.4698,4,3,3,4,0,0,370.1681279,7.403362559
18000,-0.5122,0.26234884,47.1776,4,2,2,4,2,2,343.1684623,7.301456645
470,-0.5199,0.27029601,41.0779,3,3,3,3,0,0,389.1925689,7.076228525
6000,-0.381,0.145161,46.6441,3,3,3,4,1,1,346.1681279,7.211835999
60000,-0.0639,0.00408321,44.3423,4,4,4,4,0,0,438.1743562,7.824542075
20000,-0.6642,0.44116164,65.4744,5,5,3,5,0,0,317.2103271,6.344206542
20000,-2.1518,4.63024324,68.2008,6,6,4,6,0,0,421.2365419,6.794137772
6000,-0.3292,0.10837264,39.3283,3,2,2,3,1,1,266.1419132,7.003734558
30000,0.3574,0.12773476,57.0872,4,3,3,4,1,1,322.1681279,7.003654955
20000,-0.5089,0.25897921,49.6684,5,4,4,5,0,0,445.179027,7.810158368
20000,-1.8458,3.40697764,68.4431,5,5,3,5,0,0,267.194677,6.072606296
180000,-0.2855,0.08151025,45.3276,3,5,5,5,2,2,262.0841235,7.941943138
380,0.0101,1.02E-04,73.7333,3,3,3,4,0,0,443.2936628,6.332766611
54,-1.8775,3.52500625,77.0696,3,5,5,6,0,0,420.1844691,7.121770662
714,0.1644,0.02702736,55.3567,2,6,6,6,0,0,445.188923,7.419815383
8,-1.6753,2.80663009,65.2314,1,3,3,4,0,0,438.2102899,6.955718887
148,0.9799,0.96020401,37.2993,2,5,5,6,0,0,400.1423071,8.002846142
368,0.8763,0.76790169,51.9309,2,7,7,8,0,0,460.1634365,7.933852353
2670,-0.0364,0.00132496,60.2605,0,2,2,3,0,0,394.1840751,7.039001342
7,-0.9017,0.81306289,58.2197,2,4,4,5,0,0,400.1582543,7.410338043
380,-2.474,6.120676,74.1055,2,4,4,5,1,1,482.2365046,6.889092923
4.5,-0.6059,0.36711481,47.407,1,6,6,8,0,0,453.1120324,8.54928363
2290,0.268,0.071824,40.7251,2,4,4,4,0,0,385.1677936,7.407072954
90,-2.37,5.6169,62.8444,2,4,4,5,1,1,440.1895544,7.216222204
202,0.2162,0.04674244,48.0409,2,5,5,5,0,0,415.1783583,7.413899255
390,-1.8178,3.30439684,71.5627,1,4,4,5,0,0,468.2208546,6.988370964
2.6,-0.6322,0.39967684,42.7704,1,4,4,4,0,0,436.1382678,8.076634589
110,-2.2513,5.06835169,71.0546,1,3,3,4,0,0,466.24159,6.757124493
120,-2.0331,4.13349561,71.4933,2,4,4,5,0,0,468.2208546,6.988370964
750,-0.521,0.271441,65.7039,1,3,3,4,0,0,422.1789898,7.278948099
2020,-0.6316,0.39891856,47.956,2,5,5,5,0,0,415.1783583,7.413899255
